300000,1999,6313510
250000,1995,11493130
470000,2002,11287525
190000,1993,11310844
445000,2003,10255994
450000,2004,11504444
650000,2007,10073464
160000,1993,11382490
240000,1996,11302551
460000,2002,10652094
235000,1993,11331943
190000,1993,11467476
670000,2007,10961030
380000,2000,11231672
285000,1995,11121772
380000,1994,5653214
250000,1995,11505745
620000,2004,7675884
230000,1992,11379263
615000,2007,10403093
250000,1994,11344897
340000,1997,11009798
165000,1990,11521624
250000,1995,11338285
220000,1994,11107243
110000,1991,11524323
720000,2008,8180752
395000,2000,10798837
275000,1995,11502856
710000,2008,8507207
114000,1989,7909504
285000,1997,11471848
350000,1998,11460341
210000,1993,11319791
220000,1994,7642136
450000,1991,11228646
185000,1991,10463653
310000,1997,10895598
380000,1998,11309971
540000,2007,10745692
640000,2005,8188473
160000,1993,11094359
199000,1994,7933603
600000,2005,8054973
615000,2006,11438034
257000,1995,11140949
325000,1995,11307546
300000,1996,11386807
440000,1999,10606689
200000,1993,11515257
80000,1993,9157408
80000,1992,8278944
375000,1998,11408823
200000,1994,11325137
350000,1993,10963807
287000,1997,11499445
179000,1992,11308562
380000,1999,11278895
298000,1996,11366278
180000,1991,10832075
900000,2008,8340427
220000,1993,11273084
225000,1995,11055368
540000,2005,11295366
210000,1992,11321688
460000,1999,11534441
945000,2009,8074401
210000,1994,6646538
330000,1999,11454763
200000,1992,11298929
285000,1995,11485659
755000,2007,9688410
160000,1995,11364826
200000,1995,11442602
218000,1993,11226448
500000,2003,11238184
769000,2007,8952266
450000,2000,11441376
560000,2004,9158907
360000,1991,11339640
335000,1998,11028002
530000,2004,10100645
530000,2001,11314529
203000,1992,11462930
200000,1994,11183677
160000,1991,11298305
193000,1991,10783087
699000,2008,10435924
180000,1994,11243163
180000,1992,11399029
330000,1997,11374681
199000,1993,10844213
330000,1997,6665167
680000,2007,10754430
212000,1993,11145993
300000,1996,11147710
100000,1998,8088177
270000,1992,11232254
715000,2006,9294434
210000,1989,8609445
660000,2006,10105749
210000,1996,11209353
160000,1991,11383320
150000,1992,11474355
305000,1999,11497391
320000,1997,11497732
470000,2003,11439099
200000,1992,11133639
215000,1991,11403466
520000,2005,11469747
390000,2004,11082534
250000,1994,10834497
975000,2008,8340671
500000,2003,6946075
285000,1995,11145216
530000,2005,11289868
200000,1993,11136831
265000,1996,9762881
200000,1996,11406741
160000,1992,10906327
259999,1994,8047309
590000,2005,11278823
190000,1989,10184896
300000,1997,11325839
370000,2001,11460435
85000,1994,11394719
219000,1990,11220629
100000,1994,11263788
595000,2005,11509244
380000,1998,11438094
310000,1996,11475198
217000,1993,8054647
270000,1995,9893690
175000,1992,11284812
260000,1996,11019667
150000,1991,11359212
235000,1994,10749735
440000,2001,10275342
185000,1995,11459167
425000,2001,11438498
165000,1989,8225457
400000,1999,9918152
390000,2001,10473431
517000,2004,11439997
340000,1998,11340781
500000,2005,11110198
660000,2005,7929805
250000,1996,11471945
620000,2005,6951674
200000,1993,11314645
320000,1997,11263196
340000,1997,11195091
210000,1991,11403037
207000,1991,11461574
150000,1992,10745971
200000,1989,9688454
380000,1998,11491394
285000,1996,11056525
350000,1998,11470310
270000,1997,11478133
210000,1992,11280558
319000,1996,10882231
210000,1992,11510221
610000,2007,10624839
200000,1993,11122723
550000,2005,11289903
275000,1995,11311903
590000,2005,10864208
695000,2008,9951363
